單字,翻譯,英文例句,中文例句
desk,書桌、辦公桌,The report is on your desk.,報告放在你的書桌上。
desperate,絕望的、極度渴望的,He was desperate for help.,他急需幫助。
despite,儘管,"Despite the rain, the event continued.",儘管下雨，活動仍持續進行。
destination,目的地,Paris is a popular travel destination.,巴黎是熱門的旅遊目的地。
destroy,破壞,The fire destroyed the building.,火災摧毀了這棟建築。
destruction,毀滅,The earthquake caused massive destruction.,地震造成了巨大的破壞。
detail,詳情、細節,He explained every detail of the plan.,他解釋了這個計畫的每一個細節。
detect,偵測、察覺,The scanner can detect hidden weapons.,掃描器能偵測隱藏的武器。
detection,偵測、發現,Early detection of cancer saves lives.,癌症早期偵測可以挽救生命。
detective,偵探,The detective solved the case quickly.,偵探迅速破案。
determination,決心,Her determination impressed everyone.,她的決心讓大家印象深刻。
determine,決定、判定,The exam results will determine your grade.,考試成績將決定你的分數。
develop,發展、培養,The company plans to develop new software.,公司計畫開發新軟體。
development,發展、開發,The project is still in development.,該專案仍在開發中。
device,裝置、設備,This device can track your steps.,這個裝置可以計步。
devote,奉獻、致力,He devotes his time to teaching.,他致力於教學工作。
devoted,忠誠的、投入的,She is a devoted employee.,她是位敬業的員工。
diagram,圖表,Please refer to the diagram on page 3.,請參考第三頁的圖表。
dialogue,對話,The movie had great dialogue.,那部電影的對話很精彩。
differ,不同,Their opinions differ on the topic.,他們在這個議題上的看法不同。
difference,差異,What’s the difference between these models?,這些型號有什麼不同？
different,不同的,We have different approaches.,我們的方法不同。
difficult,困難的,This task is more difficult than expected.,這項任務比預期困難。
difficulty,困難、難題,He had difficulty understanding the instructions.,他難以理解那些說明。
dig,挖掘,The workers dug a hole for the pipes.,工人為了管線挖了一個洞。
digital,數位的,We use a digital system for payments.,我們使用數位系統來付款。
diligent,勤奮的,She is a diligent and reliable employee.,她是一位勤奮可靠的員工。
dimension,尺寸、方面,We need to consider every dimension of the issue.,我們需要考慮問題的各個面向。
diminish,減少、縮小,His influence in the company has diminished.,他在公司的影響力已減弱。
dine,用餐,They dined at a fancy restaurant.,他們在高級餐廳用餐。
dinner,晚餐,Let’s have dinner together tonight.,今晚一起吃晚餐吧。
direct,直接的、指導,She gave me direct instructions.,她給了我明確的指示。
direction,方向、指導,Follow the directions on the label.,按照標籤上的指示操作。
director,導演、主管,The director approved the proposal.,主任批准了這項提案。
dirt,灰塵、泥土,His clothes were covered in dirt.,他的衣服沾滿了泥土。
dirty,髒的,"Wash your hands, they’re dirty.",把手洗一洗，很髒耶。
disability,殘疾、障礙,She works to support people with disabilities.,她致力於幫助身障人士。
disabled,殘障的、失效的,The elevator is temporarily disabled.,電梯暫時無法使用。
disagree,不同意,I disagree with your opinion.,我不同意你的看法。
disagreement,意見不合,They had a disagreement over the budget.,他們在預算上有爭議。
disappear,消失,The documents disappeared mysteriously.,文件神秘地消失了。
disappoint,使失望,His behavior really disappointed me.,他的行為讓我很失望。
disappointment,失望,Her absence was a big disappointment.,她的缺席讓人大失所望。
disaster,災難,The flood was a major disaster.,那場洪水是一場重大災難。
discipline,紀律、訓練,The school emphasizes discipline.,這間學校重視紀律。
disclose,揭露、公開,The company refused to disclose details.,公司拒絕透露細節。
discount,折扣,This item is 30% off with the discount.,這項商品打了七折。
discover,發現,She discovered a new way to solve the problem.,她發現了解決問題的新方法。
discovery,發現,The discovery of the new species shocked scientists.,新物種的發現讓科學家大吃一驚。
discuss,討論,Let’s discuss the report tomorrow.,我們明天討論這份報告吧。
discussion,討論,"After a long discussion, we reached an agreement.",經過長時間的討論，我們達成了協議。
disease,疾病,The doctor is researching rare diseases.,醫生正在研究罕見疾病。
disguise,偽裝,He entered the event in disguise.,他偽裝身分參加活動。
dish,菜餚、盤子,This is my favorite Italian dish.,這是我最喜歡的義大利菜。
dismiss,解僱、忽略,He was dismissed due to poor performance.,他因表現不佳被解雇。
disorder,失調、混亂,The patient suffers from a sleeping disorder.,這位病人患有睡眠障礙。
display,展示、顯示,The store displays its newest items near the entrance.,商店在入口處展示最新商品。
dispose,處理、丟棄,Please dispose of the trash properly.,請妥善處理垃圾。
dispute,爭議、爭吵,The two sides are trying to resolve the dispute.,雙方正試圖解決爭議。
distance,距離,The hotel is within walking distance.,飯店在步行可達的距離內。
distinct,明顯不同的,The two brands have distinct styles.,這兩個品牌風格明顯不同。
distinction,區別、優異,He graduated with distinction.,他以優異成績畢業。
distinguish,區分、識別,Can you distinguish real from fake?,你能分辨真假嗎？
distract,分心、干擾,The noise distracted me from my work.,噪音讓我無法專心工作。
distraction,分心的事物,Social media is a major distraction.,社群媒體是主要的干擾來源。
distribute,分發、分配,The teacher distributed the handouts.,老師發放了講義。
distribution,分配、配送,The distribution of resources is unfair.,資源分配不公平。
district,區域、行政區,He lives in the financial district.,他住在金融區。
dive,跳水、潛水,She loves to dive in the ocean.,她喜歡在海裡潛水。
diversity,多樣性,The company values cultural diversity.,公司重視文化多樣性。
divide,分開、劃分,Let’s divide the tasks evenly.,我們來平均分配這些任務。
division,部門、分割,He works in the marketing division.,他在行銷部門工作。
divorce,離婚,They got divorced after ten years.,他們結婚十年後離婚了。
document,文件、紀錄,Please sign the document.,請簽署這份文件。
documentary,紀錄片,We watched a documentary about climate change.,我們看了一部有關氣候變遷的紀錄片。
domestic,國內的、家庭的,The airline only offers domestic flights.,這家航空公司只提供國內航班。
dominate,支配、主導,One company dominates the entire market.,一家公司主導整個市場。
donation,捐贈,She made a generous donation to the charity.,她慷慨地捐款給慈善機構。
donor,捐贈者,Blood donors are urgently needed.,目前急需捐血者。
door,門,Please close the door behind you.,請隨手關門。
double,兩倍的、雙倍,The price has almost doubled.,價格幾乎翻倍了。
doubt,懷疑,I have some doubts about this plan.,我對這個計畫有些疑慮。
doubtful,可疑的、懷疑的,It’s doubtful the meeting will happen today.,今天會議可能不會如期舉行。
